Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Payment_Method,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,cluster
28,56,Male,Shorts,Clothing,5,Kentucky,L,Cyan,Summer,5,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,2
29,54,Male,Handbag,Accessories,4,North Carolina,M,Gray,Fall,4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,2
30,31,Male,Dress,Clothing,4,Wyoming,S,Black,Fall,4,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,0
31,57,Male,Jewelry,Accessories,4,North Carolina,L,Black,Winter,4,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,2
32,33,Male,Dress,Clothing,4,West Virginia,L,Brown,Winter,4,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,0
33,36,Male,Jacket,Outerwear,4,Kansas,M,Silver,Summer,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,0
34,54,Male,Pants,Clothing,3,Colorado,L,Green,Summer,3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,2
35,36,Male,T-shirt,Clothing,4,North Dakota,L,Violet,Spring,4,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,0
36,54,Male,Blouse,Clothing,4,Massachusetts,M,Cyan,Summer,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,2
37,35,Male,T-shirt,Clothing,4,Illinois,M,Maroon,Winter,4,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,0
38,35,Male,Jeans,Clothing,2,Indiana,S,Cyan,Summer,2,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,1
39,29,Male,Dress,Clothing,3,Florida,M,Red,Winter,3,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,0
40,70,Male,Pants,Clothing,4,Arizona,S,Turquoise,Summer,4,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,2
41,69,Male,Handbag,Accessories,4,Louisiana,L,Beige,Winter,4,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2
42,67,Male,Scarf,Accessories,4,Alaska,M,Orange,Spring,4,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,2
43,20,Male,Coat,Outerwear,4,Tennessee,M,Beige,Spring,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,0
44,25,Male,Scarf,Accessories,3,Ohio,L,Lavender,Fall,3,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,0
45,39,Male,Hat,Accessories,4,Kentucky,S,Silver,Summer,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,2
46,50,Male,Socks,Clothing,2,Tennessee,XL,Indigo,Fall,2,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1
47,57,Male,Shirt,Clothing,2,California,L,White,Summer,2,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,1
48,55,Male,Jewelry,Accessories,4,Montana,M,Charcoal,Winter,4,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,2
49,42,Male,Shirt,Clothing,2,Nevada,M,Orange,Summer,2,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,1
50,68,Male,Hoodie,Clothing,4,New Jersey,S,Indigo,Spring,4,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,2
51,49,Male,Blouse,Clothing,3,Maryland,M,Red,Spring,3,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,2
52,59,Male,Skirt,Clothing,4,Vermont,XL,Gray,Winter,4,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2
53,42,Male,T-shirt,Clothing,2,Alaska,M,Green,Summer,2,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,1
54,29,Male,Skirt,Clothing,3,Mississippi,S,Peach,Winter,3,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,0
55,47,Male,Coat,Outerwear,4,New Mexico,M,Brown,Summer,4,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2
56,40,Male,Jacket,Outerwear,3,South Carolina,M,Lavender,Winter,3,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2
57,41,Male,Backpack,Accessories,4,Mississippi,XL,Brown,Summer,4,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2
58,21,Male,Coat,Outerwear,4,West Virginia,M,White,Summer,4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,0
59,69,Male,Hoodie,Clothing,4,Missouri,M,Charcoal,Summer,4,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,2
60,63,Male,Belt,Accessories,4,Louisiana,L,Yellow,Spring,4,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,2
61,50,Male,Sweater,Clothing,4,Idaho,L,Brown,Summer,4,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,2
62,55,Male,Scarf,Accessories,4,Texas,M,Orange,Winter,4,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,2
63,30,Male,Sneakers,Footwear,3,Mississippi,S,Magenta,Spring,3,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,0
64,33,Male,Sunglasses,Accessories,2,Arizona,L,Lavender,Winter,2,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,1
65,65,Male,Boots,Footwear,4,Alabama,S,Green,Fall,4,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,2
66,65,Male,Backpack,Accessories,4,New Jersey,M,Purple,Spring,4,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2
67,31,Male,Blouse,Clothing,4,Pennsylvania,S,Magenta,Winter,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,0
68,45,Male,Coat,Outerwear,4,Connecticut,L,Gray,Winter,4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,2
69,57,Male,Handbag,Accessories,3,Utah,L,Silver,Summer,3,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2
70,48,Male,Belt,Accessories,4,Tennessee,S,Cyan,Summer,4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,0
71,22,Male,Belt,Accessories,4,Alabama,M,Magenta,Fall,4,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,0
72,36,Male,Dress,Clothing,2,Virginia,L,Gold,Summer,2,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,1
73,18,Male,Dress,Clothing,2,Georgia,M,Olive,Winter,2,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,1
74,48,Male,Pants,Clothing,2,Hawaii,M,Teal,Spring,2,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,1
75,49,Male,Gloves,Accessories,4,Indiana,L,Violet,Spring,4,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,2
76,64,Male,Scarf,Accessories,2,Utah,M,Blue,Summer,2,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,1
77,50,Male,Hat,Accessories,4,Delaware,S,Teal,Summer,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,2
78,22,Male,Dress,Clothing,3,Delaware,L,Gold,Summer,3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,0
79,50,Male,Skirt,Clothing,4,Nebraska,M,Maroon,Spring,4,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,2
80,38,Male,Jacket,Outerwear,2,Iowa,M,Olive,Winter,2,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,1
81,19,Male,Sandals,Footwear,3,New York,XL,Blue,Summer,3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,0
82,67,Male,Shoes,Footwear,2,Virginia,L,Maroon,Summer,2,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,1
83,19,Male,Pants,Clothing,4,Georgia,S,Olive,Spring,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,0
84,36,Male,Dress,Clothing,4,Texas,M,Turquoise,Summer,4,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,0
85,52,Male,Coat,Outerwear,4,Arizona,S,Peach,Spring,4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,2
86,53,Male,Sunglasses,Accessories,4,New Mexico,M,Charcoal,Winter,4,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2
87,24,Male,Hoodie,Clothing,3,Nevada,L,Pink,Spring,3,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,0
88,52,Male,Shoes,Footwear,3,Ohio,M,Green,Fall,3,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2
89,33,Male,T-shirt,Clothing,3,Wyoming,M,Orange,Fall,3,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,0
90,47,Male,Jacket,Outerwear,3,California,XL,Pink,Fall,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,2
91,25,Male,Hat,Accessories,2,South Carolina,L,Violet,Summer,2,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,1
92,44,Male,Scarf,Accessories,4,South Carolina,S,Green,Winter,4,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,0
93,61,Male,Jacket,Outerwear,4,Texas,M,Olive,Winter,4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,2
94,37,Male,Sweater,Clothing,4,Florida,M,Purple,Fall,4,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,0
95,58,Male,Skirt,Clothing,4,Nevada,S,Silver,Spring,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2
96,37,Male,Sneakers,Footwear,3,Missouri,L,Pink,Fall,3,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,2
97,32,Male,Gloves,Accessories,3,Delaware,S,Gold,Spring,3,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,0
98,21,Male,Shoes,Footwear,4,Virginia,M,Teal,Winter,4,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,0
99,20,Male,Jeans,Clothing,2,New York,XL,Teal,Spring,2,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1
100,26,Male,Hoodie,Clothing,3,Missouri,XL,Indigo,Summer,3,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,0
101,62,Male,Sunglasses,Accessories,2,South Dakota,M,Maroon,Fall,2,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,1
102,27,Male,Coat,Outerwear,4,North Dakota,XL,White,Spring,4,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,0
103,51,Male,Socks,Clothing,4,Oklahoma,L,Violet,Winter,4,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2
104,54,Male,Boots,Footwear,4,West Virginia,L,Red,Winter,4,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,2
105,55,Male,Sunglasses,Accessories,4,New Hampshire,L,Pink,Spring,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,2
106,69,Male,Backpack,Accessories,3,New York,M,Charcoal,Fall,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,2
107,64,Male,Jacket,Outerwear,3,Minnesota,L,White,Summer,3,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,2
108,28,Male,Sneakers,Footwear,3,Maryland,L,Olive,Winter,3,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,0
109,70,Male,Socks,Clothing,3,Montana,L,Purple,Spring,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2
110,58,Male,T-shirt,Clothing,2,Alabama,M,Violet,Spring,2,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,1
111,56,Male,Backpack,Accessories,4,New York,M,Black,Summer,4,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,2
112,26,Male,Belt,Accessories,5,Massachusetts,L,Purple,Summer,5,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,0
113,37,Male,Gloves,Accessories,4,Florida,M,Red,Spring,4,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,0
114,44,Male,Hat,Accessories,3,New Jersey,L,Maroon,Winter,3,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,2
115,70,Male,Coat,Outerwear,3,Massachusetts,S,Blue,Summer,3,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,2
116,53,Male,Skirt,Clothing,3,Wyoming,M,Gray,Spring,3,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,2
117,55,Male,Shoes,Footwear,3,Virginia,S,Blue,Spring,3,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,2
118,50,Male,Sandals,Footwear,4,South Dakota,L,Yellow,Summer,4,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,2
119,50,Male,Sweater,Clothing,4,Kentucky,L,Orange,Fall,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,2
120,38,Male,Coat,Outerwear,4,Wyoming,M,Orange,Fall,4,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,0
121,64,Male,Hat,Accessories,4,West Virginia,L,Red,Summer,4,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,2
122,19,Male,Shorts,Clothing,4,Virginia,M,Olive,Winter,4,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,0
123,40,Male,Backpack,Accessories,4,Washington,L,Brown,Spring,4,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,2
124,57,Male,Sweater,Clothing,3,Louisiana,L,Brown,Fall,3,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,2
125,44,Male,Sweater,Clothing,3,Nevada,M,Gray,Spring,3,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,2
126,49,Male,Shorts,Clothing,3,California,M,Indigo,Winter,3,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,2
127,43,Male,Shorts,Clothing,3,Mississippi,L,Pink,Spring,3,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,2
128,24,Male,Sweater,Clothing,4,Mississippi,M,Gray,Winter,4,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly,0
129,20,Male,Scarf,Accessories,4,California,M,Gold,Spring,4,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly,0
130,24,Male,Dress,Clothing,4,Pennsylvania,XL,Olive,Summer,4,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,0
131,44,Male,Scarf,Accessories,3,Kentucky,L,Violet,Fall,3,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,0
132,28,Male,Skirt,Clothing,3,Maine,L,Indigo,Summer,3,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,0
133,30,Male,Backpack,Accessories,4,New Mexico,M,Orange,Fall,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,0
134,52,Male,Sweater,Clothing,2,Montana,M,Violet,Winter,2,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually,1
135,43,Male,Hat,Accessories,4,Texas,L,Gray,Fall,4,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly,0
136,43,Male,Sandals,Footwear,4,Kansas,M,Purple,Fall,4,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly,0
137,39,Male,Blouse,Clothing,3,South Carolina,M,White,Winter,3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,0
138,68,Male,Sneakers,Footwear,4,Colorado,M,Turquoise,Spring,4,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly,2
139,68,Male,Skirt,Clothing,4,Georgia,M,Maroon,Winter,4,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,2
140,49,Male,Coat,Outerwear,3,Florida,M,White,Fall,3,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually,2
141,63,Male,Shirt,Clothing,3,North Carolina,L,Yellow,Fall,3,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,2
142,56,Male,Gloves,Accessories,4,Virginia,M,Turquoise,Fall,4,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly,2
143,37,Male,Jacket,Outerwear,3,Nebraska,L,Violet,Fall,3,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,0
144,30,Male,Coat,Outerwear,2,Missouri,M,Beige,Fall,2,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly,1
145,19,Male,Shoes,Footwear,3,New Jersey,M,Silver,Fall,3,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly,0
146,24,Male,Jewelry,Accessories,4,Missouri,M,Teal,Fall,4,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly,0
147,52,Male,Skirt,Clothing,4,Colorado,S,Black,Fall,4,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly,2
148,63,Male,Shoes,Footwear,3,Idaho,M,Purple,Summer,3,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,2
149,37,Male,Gloves,Accessories,2,Wyoming,M,Gray,Fall,2,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Annually,1
150,38,Male,Pants,Clothing,3,Delaware,M,White,Summer,3,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Monthly,0
151,35,Male,Boots,Footwear,4,California,L,Cyan,Fall,4,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Every 3 Months,0
152,28,Male,Sunglasses,Accessories,4,North Dakota,L,Turquoise,Fall,4,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Annually,0
153,30,Male,Shirt,Clothing,4,South Carolina,S,Brown,Summer,4,Yes,PayPal,Express,Yes,Yes,42,Venmo,Annually,0
154,69,Male,Hoodie,Clothing,3,North Carolina,M,Maroon,Winter,3,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Annually,2
155,41,Male,Dress,Clothing,3,Oklahoma,M,Charcoal,Fall,3,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Quarterly,0
156,63,Male,Socks,Clothing,4,Maine,S,Olive,Spring,4,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,2
157,35,Male,Shorts,Clothing,4,Missouri,M,Lavender,Fall,4,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Annually,0
158,36,Male,Hat,Accessories,3,Vermont,S,Yellow,Fall,3,Yes,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,0
159,25,Male,Shirt,Clothing,4,Connecticut,XL,Teal,Fall,4,Yes,Bank Transfer,Standard,Yes,Yes,50,Bank Transfer,Monthly,0
160,58,Male,Gloves,Accessories,3,New Hampshire,M,Charcoal,Fall,3,Yes,Debit Card,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,2
161,27,Male,Gloves,Accessories,4,Texas,M,Orange,Summer,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,34,Venmo,Monthly,0
162,65,Male,Backpack,Accessories,3,North Dakota,M,Olive,Fall,3,Yes,Venmo,Express,Yes,Yes,29,Venmo,Fortnightly,2
163,54,Male,Sunglasses,Accessories,3,California,M,Turquoise,Summer,3,Yes,Credit Card,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,2
164,54,Male,Skirt,Clothing,3,Virginia,M,Purple,Summer,3,Yes,PayPal,Standard,Yes,Yes,8,Debit Card,Weekly,2
165,59,Male,Handbag,Accessories,2,Delaware,S,Purple,Spring,2,Yes,Debit Card,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly,1
166,42,Male,Handbag,Accessories,2,Kentucky,S,Yellow,Winter,2,Yes,Credit Card,Store Pickup,Yes,Yes,7,Cash,Monthly,1
167,46,Male,Sneakers,Footwear,4,Delaware,XL,Indigo,Fall,4,Yes,Cash,Store Pickup,Yes,Yes,30,Cash,Monthly,2
168,33,Male,Gloves,Accessories,4,Arkansas,M,Green,Fall,4,Yes,Venmo,Express,Yes,Yes,14,Credit Card,Every 3 Months,0
169,34,Male,Shoes,Footwear,3,Louisiana,M,Magenta,Summer,3,Yes,Bank Transfer,Express,Yes,Yes,5,Cash,Fortnightly,0
170,27,Male,Jacket,Outerwear,3,Nevada,S,Gold,Summer,3,Yes,Credit Card,Standard,Yes,Yes,3,PayPal,Every 3 Months,0
171,52,Male,Shirt,Clothing,2,Wyoming,M,Maroon,Fall,2,Yes,Venmo,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly,1
172,29,Male,Shorts,Clothing,3,Virginia,M,Blue,Summer,3,Yes,Debit Card,Store Pickup,Yes,Yes,4,Credit Card,Weekly,0
173,54,Male,Jewelry,Accessories,3,Nebraska,M,Violet,Summer,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly,2
174,25,Male,Hat,Accessories,3,Hawaii,M,Turquoise,Fall,3,Yes,PayPal,Standard,Yes,Yes,30,Cash,Annually,0
175,41,Male,Shoes,Footwear,3,Vermont,L,Brown,Winter,3,Yes,Venmo,Express,Yes,Yes,37,Venmo,Annually,2
176,53,Male,Coat,Outerwear,2,Oklahoma,L,Violet,Fall,2,Yes,Debit Card,Next Day Air,Yes,Yes,2,Bank Transfer,Annually,1
177,53,Male,Backpack,Accessories,2,New Hampshire,L,Black,Spring,2,Yes,Bank Transfer,Next Day Air,Yes,Yes,30,Credit Card,Quarterly,1
178,21,Male,Hoodie,Clothing,3,Kansas,L,Magenta,Fall,3,Yes,Debit Card,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly,0
179,61,Male,Skirt,Clothing,4,Idaho,L,Lavender,Fall,4,Yes,Debit Card,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly,2
180,64,Male,Boots,Footwear,4,Illinois,M,Violet,Fall,4,Yes,Debit Card,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly,2
